policy,display_name,M_ratio,csr,total_cost,avg_mem_util,runtime_seconds,result_path
ttlmin_extnd,TTLmin_extnd,0.7,0.009856833894302733,4634900.0,0.9322855987840594,3.6,D:\code\paper_b_sim\results\baseline\ttlmin_extnd_0.7.json
adaptive_ttl_lru,Adaptive-TTL+LRU,0.7,0.010743753095124183,5070940.0,0.9354998861333688,3.3,D:\code\paper_b_sim\results\baseline\adaptive_ttl_lru_0.7.json
lru,LRU,1.0,0.0018857524963837758,881700.0,0.975588357972831,0.7,D:\code\paper_b_sim\results\baseline\lru_1.0.json
gdsf,GDSF,1.0,0.00232851263370237,1249850.0,0.9689003434749774,1.0,D:\code\paper_b_sim\results\baseline\gdsf_1.0.json
dtlm_v3,DTLM v3,1.0,0.004451383118318379,2271460.0,0.574872895376309,1.5,D:\code\paper_b_sim\results\dtlm_v3\final\dtlm_v3_1.0.json
lfu,LFU,1.0,0.004817901778594751,2337010.0,0.970217788946236,0.9,D:\code\paper_b_sim\results\baseline\lfu_1.0.json
fixed_ttl_lru,Fixed-TTL+LRU,1.0,0.004665418824510306,2359540.0,0.6268556508732256,0.7,D:\code\paper_b_sim\results\baseline\fixed_ttl_lru_1.0.json
adaptive_ttl_only,Adaptive-TTL-only,1.0,0.00762624609349863,3440360.0,1.5677694606494736,3.3,D:\code\paper_b_sim\results\baseline\adaptive_ttl_only_1.0.json
ttlmin_extnd,TTLmin_extnd,1.0,0.00845301146839686,3839500.0,0.9317725378361859,3.5,D:\code\paper_b_sim\results\baseline\ttlmin_extnd_1.0.json
adaptive_ttl_lru,Adaptive-TTL+LRU,1.0,0.008438322743462118,3844180.0,0.9470911267470138,3.3,D:\code\paper_b_sim\results\baseline\adaptive_ttl_lru_1.0.json
