M_ratio,policy,CSR,Total Cost,Avg Mem Util
0.1,LRU,0.15046710145292475,67476380.0,0.9122732559680847
0.1,LFU,0.12750023082282042,57449000.0,0.9259747890939662
0.1,Fixed-TTL+LRU,0.15046710145292475,67476380.0,0.9122732559680847
0.1,GDSF,0.129395775802494,57691770.0,0.9156386401898879
0.1,Adaptive-TTL-only,0.00762624609349863,3440360.0,15.677694606494736
0.1,Adaptive-TTL+LRU,0.15046710145292475,67476720.0,0.9117878900221098
0.1,TTLmin_extnd,0.12903415338386254,58484110.0,0.9267462619232202
0.1,DTLM v2,0.48945139710758023,221175990.0,0.9251916731494713
0.2,LRU,0.13984435547273913,62533190.0,0.9637630519919659
0.2,LFU,0.11268350414222043,51050960.0,0.9551179883126618
0.2,Fixed-TTL+LRU,0.13984435547273913,62533190.0,0.9637630519919659
0.2,GDSF,0.11300385823841619,51196200.0,0.9566820674564841
0.2,Adaptive-TTL-only,0.00762624609349863,3440360.0,7.838847303247368
0.2,Adaptive-TTL+LRU,0.13718499679645904,61329740.0,0.9632349292900511
0.2,TTLmin_extnd,0.07319671420217841,32172390.0,0.9573161743425891
0.2,DTLM v2,0.4415290822764446,197847290.0,0.9563597303603771
0.3,LRU,0.07033381176608836,31002450.0,0.9585088217804758
0.3,LFU,0.041642535189988165,18573320.0,0.9731718250311733
0.3,Fixed-TTL+LRU,0.07033381176608836,31002450.0,0.9585088217804758
0.3,GDSF,0.040215630482041985,16284490.0,0.9735557641032508
0.3,Adaptive-TTL-only,0.00762624609349863,3440360.0,5.225898202164912
0.3,Adaptive-TTL+LRU,0.07024288156411139,30931750.0,0.9555294837805217
0.3,TTLmin_extnd,0.033257371641527964,14314130.0,0.9498697816641201
0.3,DTLM v2,0.1996589417962772,89445700.0,0.971145562248382
0.5,LRU,0.01951362134425615,8468710.0,0.9496723517260659
0.5,LFU,0.02029981785981081,9024280.0,0.973257034481671
0.5,Fixed-TTL+LRU,0.019696880674394335,8541800.0,0.9487365075748766
0.5,GDSF,0.0172865308589127,7666250.0,0.9749960229533936
0.5,Adaptive-TTL-only,0.00762624609349863,3440360.0,3.1355389212989473
0.5,Adaptive-TTL+LRU,0.02370550365539412,10424980.0,0.9447147225596545
0.5,TTLmin_extnd,0.01375284331746951,6477440.0,0.9126661202526382
0.5,DTLM v2,0.01858403489481474,8597830.0,0.9478101726819049
0.7,LRU,0.004769638825237748,2359160.0,0.9468379987973109
0.7,LFU,0.007629043945867152,3981670.0,0.9612123697520045
0.7,Fixed-TTL+LRU,0.005730701113825028,2816930.0,0.8568936642439927
0.7,GDSF,0.005376772789207005,2907560.0,0.9620563276561168
0.7,Adaptive-TTL-only,0.00762624609349863,3440360.0,2.2396706580706764
0.7,Adaptive-TTL+LRU,0.010743753095124183,5070940.0,0.9354998861333688
0.7,TTLmin_extnd,0.009856833894302733,4634900.0,0.9322855987840594
0.7,DTLM v2,0.005916058833239605,3113340.0,0.959222860712715
1.0,LRU,0.0018857524963837758,881700.0,0.975588357972831
1.0,LFU,0.004817901778594751,2337010.0,0.970217788946236
1.0,Fixed-TTL+LRU,0.004665418824510306,2359540.0,0.6268556508732256
1.0,GDSF,0.00232851263370237,1249850.0,0.9689003434749774
1.0,Adaptive-TTL-only,0.00762624609349863,3440360.0,1.5677694606494736
1.0,Adaptive-TTL+LRU,0.008438322743462118,3844180.0,0.9470911267470138
1.0,TTLmin_extnd,0.00845301146839686,3839500.0,0.9317725378361859
1.0,DTLM v2,0.002341802432452849,1504580.0,0.9682122043379068
