policy,M_ratio,cold_start_scale,CSR,total_cost,avg_mem_util,runtime_s
fixed_ttl_lru,0.5,0.5,0.019696880674394335,4270900.0,0.9487365075748766,0.8
fixed_ttl_lru,0.5,1.0,0.019696880674394335,8541800.0,0.9487365075748766,0.8
fixed_ttl_lru,0.5,2.0,0.019696880674394335,17083600.0,0.9487365075748766,0.8
gdsf,0.2,0.5,0.11300385823841619,25598100.0,0.9566820674564841,1.5
gdsf,0.2,1.0,0.11300385823841619,51196200.0,0.9566820674564841,1.3
gdsf,0.2,2.0,0.11300385823841619,102392400.0,0.9566820674564841,1.3
gdsf,0.3,0.5,0.040215630482041985,8142245.0,0.9735557641032508,1.1
gdsf,0.3,1.0,0.040215630482041985,16284490.0,0.9735557641032508,1.1
gdsf,0.3,2.0,0.040215630482041985,32568980.0,0.9735557641032508,1.1
gdsf,0.5,0.5,0.0172865308589127,3833125.0,0.9749960229533936,1.0
gdsf,0.5,1.0,0.0172865308589127,7666250.0,0.9749960229533936,1.0
gdsf,0.5,2.0,0.0172865308589127,15332500.0,0.9749960229533936,1.0
lfu,0.2,0.5,0.11268350414222043,25525480.0,0.9551179883126618,1.4
lfu,0.2,1.0,0.11268350414222043,51050960.0,0.9551179883126618,1.3
lfu,0.2,2.0,0.11268350414222043,102101920.0,0.9551179883126618,1.3
lfu,0.3,0.5,0.041642535189988165,9286660.0,0.9731718250311733,1.0
lfu,0.3,1.0,0.041642535189988165,18573320.0,0.9731718250311733,1.1
lfu,0.3,2.0,0.041642535189988165,37146640.0,0.9731718250311733,1.0
lfu,0.5,0.5,0.02029981785981081,4512140.0,0.973257034481671,1.0
lfu,0.5,1.0,0.02029981785981081,9024280.0,0.973257034481671,1.0
lfu,0.5,2.0,0.02029981785981081,18048560.0,0.973257034481671,1.0
lru,0.2,0.5,0.13984435547273913,31266595.0,0.9637630519919659,1.2
lru,0.2,1.0,0.13984435547273913,62533190.0,0.9637630519919659,1.1
lru,0.2,2.0,0.13984435547273913,125066380.0,0.9637630519919659,1.2
lru,0.3,0.5,0.07033381176608836,15501225.0,0.9585088217804758,0.9
lru,0.3,1.0,0.07033381176608836,31002450.0,0.9585088217804758,0.9
lru,0.3,2.0,0.07033381176608836,62004900.0,0.9585088217804758,0.9
lru,0.5,0.5,0.01951362134425615,4234355.0,0.9496723517260659,0.8
lru,0.5,1.0,0.01951362134425615,8468710.0,0.9496723517260659,0.8
lru,0.5,2.0,0.01951362134425615,16937420.0,0.9496723517260659,0.8
ttlmin_extnd,0.2,0.5,0.07319671420217841,16086195.0,0.9573161743425891,4.4
ttlmin_extnd,0.2,1.0,0.07319671420217841,32172390.0,0.9573161743425891,5.2
ttlmin_extnd,0.2,2.0,0.07319671420217841,64344780.0,0.9573161743425891,4.4
ttlmin_extnd,0.3,0.5,0.033257371641527964,7157065.0,0.9498697816641201,4.0
ttlmin_extnd,0.3,1.0,0.033257371641527964,14314130.0,0.9498697816641201,4.2
ttlmin_extnd,0.3,2.0,0.033257371641527964,28628260.0,0.9498697816641201,4.0
ttlmin_extnd,0.5,0.5,0.01375284331746951,3238720.0,0.9126661202526382,3.6
ttlmin_extnd,0.5,1.0,0.01375284331746951,6477440.0,0.9126661202526382,3.7
ttlmin_extnd,0.5,2.0,0.01375284331746951,12954880.0,0.9126661202526382,3.3
"dtlm[q=1.0,exponential]",0.2,1.0,0.1690154637300408,74911790.0,0.9344879015693498,9.9
